two_theta,intensity,sample
23.8,20.64,lead_iv_oxide
23.85,25.77,lead_iv_oxide
23.9,33.81,lead_iv_oxide
23.95,17.83,lead_iv_oxide
24,35.9,lead_iv_oxide
24.05,23.77,lead_iv_oxide
24.1,33.1,lead_iv_oxide
24.15,26.39,lead_iv_oxide
24.2,32.25,lead_iv_oxide
24.25,29.49,lead_iv_oxide
24.3,29.02,lead_iv_oxide
24.35,34.52,lead_iv_oxide
24.4,32.27,lead_iv_oxide
24.45,39.59,lead_iv_oxide
24.5,31.8,lead_iv_oxide
24.55,60.19,lead_iv_oxide
24.6,43.35,lead_iv_oxide
24.65,31.95,lead_iv_oxide
24.7,45.64,lead_iv_oxide
24.75,72.4,lead_iv_oxide
24.8,53.81,lead_iv_oxide
24.85,61.08,lead_iv_oxide
24.9,103.44,lead_iv_oxide
24.95,110.4,lead_iv_oxide
25,179.2,lead_iv_oxide
25.05,247.68,lead_iv_oxide
25.1,290.33,lead_iv_oxide
25.15,586.31,lead_iv_oxide
25.2,1058.99,lead_iv_oxide
25.25,1893.03,lead_iv_oxide
25.3,3869.69,lead_iv_oxide
25.35,7779.86,lead_iv_oxide
25.4,13067.67,lead_iv_oxide
25.45,8925.42,lead_iv_oxide
25.5,2617.64,lead_iv_oxide
25.55,222.08,lead_iv_oxide
25.6,641.44,lead_iv_oxide
25.65,433.42,lead_iv_oxide
25.7,207.84,lead_iv_oxide
25.75,187.86,lead_iv_oxide
25.8,148.12,lead_iv_oxide
25.85,115.22,lead_iv_oxide
25.9,83.7,lead_iv_oxide
25.95,83.63,lead_iv_oxide
26,76.53,lead_iv_oxide
26.05,75.2,lead_iv_oxide
26.1,41.81,lead_iv_oxide
26.15,74.42,lead_iv_oxide
26.2,45.7,lead_iv_oxide
26.25,51.03,lead_iv_oxide
26.3,37.75,lead_iv_oxide
26.35,39.73,lead_iv_oxide
26.4,49.21,lead_iv_oxide
26.45,35.44,lead_iv_oxide
26.5,20.82,lead_iv_oxide
26.55,38.43,lead_iv_oxide
26.6,29.61,lead_iv_oxide
26.65,32.73,lead_iv_oxide
26.7,36.15,lead_iv_oxide
26.75,29.39,lead_iv_oxide
26.8,27.17,lead_iv_oxide
26.85,38.16,lead_iv_oxide
26.9,18.7,lead_iv_oxide
26.95,47.51,lead_iv_oxide
27,44.03,lead_iv_oxide
27.05,18.95,lead_iv_oxide
27.1,36.26,lead_iv_oxide
27.15,20.97,lead_iv_oxide
27.2,24.96,lead_iv_oxide
27.25,32.49,lead_iv_oxide
27.3,21.17,lead_iv_oxide
27.35,24.56,lead_iv_oxide
27.4,36.6,lead_iv_oxide
27.45,15.9,lead_iv_oxide
27.5,31.46,lead_iv_oxide
27.55,24.36,lead_iv_oxide
27.6,24.63,lead_iv_oxide
27.65,30.96,lead_iv_oxide
27.7,17.82,lead_iv_oxide
27.75,40.84,lead_iv_oxide
27.8,39.02,lead_iv_oxide
27.85,31.88,lead_iv_oxide
27.9,23.57,lead_iv_oxide
27.95,27.73,lead_iv_oxide
28,12.14,lead_iv_oxide
28.05,25.24,lead_iv_oxide
28.1,34.38,lead_iv_oxide
28.15,30.69,lead_iv_oxide
28.2,15.89,lead_iv_oxide
28.25,20.33,lead_iv_oxide
28.3,30.17,lead_iv_oxide
28.35,25.13,lead_iv_oxide
28.4,36.52,lead_iv_oxide
28.45,24.13,lead_iv_oxide
28.5,27.39,lead_iv_oxide
28.55,29.18,lead_iv_oxide
28.6,18.9,lead_iv_oxide
28.65,41.6,lead_iv_oxide
28.7,25.11,lead_iv_oxide
28.75,27.83,lead_iv_oxide
28.8,23.84,lead_iv_oxide
28.85,26.39,lead_iv_oxide
28.9,15.57,lead_iv_oxide
28.95,28.15,lead_iv_oxide
29,22.04,lead_iv_oxide
29.05,31.82,lead_iv_oxide
29.1,27.45,lead_iv_oxide
29.15,26.35,lead_iv_oxide
29.2,19.72,lead_iv_oxide
29.25,33.89,lead_iv_oxide
29.3,36.48,lead_iv_oxide
29.35,21.25,lead_iv_oxide
29.4,28.9,lead_iv_oxide
29.45,20.56,lead_iv_oxide
29.5,30.96,lead_iv_oxide
29.55,22.18,lead_iv_oxide
29.6,21.97,lead_iv_oxide
29.65,19.27,lead_iv_oxide
29.7,30.06,lead_iv_oxide
29.75,21.82,lead_iv_oxide
29.8,19.25,lead_iv_oxide
29.85,32.09,lead_iv_oxide
29.9,20.33,lead_iv_oxide
29.95,34.08,lead_iv_oxide
30,23.55,lead_iv_oxide
30.05,23.66,lead_iv_oxide
30.1,26.45,lead_iv_oxide
30.15,28.69,lead_iv_oxide
30.2,26.36,lead_iv_oxide
30.25,33.35,lead_iv_oxide
30.3,17.19,lead_iv_oxide
30.35,39.4,lead_iv_oxide
30.4,31.22,lead_iv_oxide
30.45,21.12,lead_iv_oxide
30.5,20.94,lead_iv_oxide
30.55,17.82,lead_iv_oxide
30.6,22.64,lead_iv_oxide
30.65,43.33,lead_iv_oxide
30.7,25.88,lead_iv_oxide
30.75,23.23,lead_iv_oxide
30.8,37.89,lead_iv_oxide
30.85,38.11,lead_iv_oxide
30.9,32.8,lead_iv_oxide
30.95,28.01,lead_iv_oxide
31,38.7,lead_iv_oxide
31.05,30.59,lead_iv_oxide
31.1,33.33,lead_iv_oxide
31.15,39.1,lead_iv_oxide
31.2,45.94,lead_iv_oxide
31.25,41.64,lead_iv_oxide
31.3,28.56,lead_iv_oxide
31.35,53.84,lead_iv_oxide
31.4,62.1,lead_iv_oxide
31.45,81.52,lead_iv_oxide
31.5,79.65,lead_iv_oxide
31.55,113.07,lead_iv_oxide
31.6,120.29,lead_iv_oxide
31.65,192.3,lead_iv_oxide
31.7,314.37,lead_iv_oxide
31.75,491.36,lead_iv_oxide
31.8,864.83,lead_iv_oxide
31.85,1758.02,lead_iv_oxide
31.9,3924.73,lead_iv_oxide
31.95,8986.74,lead_iv_oxide
32,14239.14,lead_iv_oxide
32.05,7132.22,lead_iv_oxide
32.1,2488.12,lead_iv_oxide
32.15,164.59,lead_iv_oxide
32.2,341.36,lead_iv_oxide
32.25,592.79,lead_iv_oxide
32.3,285.06,lead_iv_oxide
32.35,60.21,lead_iv_oxide
32.4,144.96,lead_iv_oxide
32.45,133.34,lead_iv_oxide
32.5,98.2,lead_iv_oxide
32.55,53.92,lead_iv_oxide
32.6,58.31,lead_iv_oxide
32.65,54.5,lead_iv_oxide
32.7,47.72,lead_iv_oxide
32.75,45.3,lead_iv_oxide
32.8,45.08,lead_iv_oxide
32.85,33.96,lead_iv_oxide
32.9,29.08,lead_iv_oxide
32.95,33.84,lead_iv_oxide
33,32.68,lead_iv_oxide
33.05,32.22,lead_iv_oxide
33.1,20.71,lead_iv_oxide
33.15,22.91,lead_iv_oxide
33.2,45.6,lead_iv_oxide
33.25,27.88,lead_iv_oxide
33.3,18.81,lead_iv_oxide
33.35,26.73,lead_iv_oxide
33.4,25.65,lead_iv_oxide
33.45,23.97,lead_iv_oxide
33.5,32.64,lead_iv_oxide
33.55,31.82,lead_iv_oxide
33.6,20.78,lead_iv_oxide
33.65,23.88,lead_iv_oxide
33.7,18.45,lead_iv_oxide
33.75,26.17,lead_iv_oxide
33.8,35.97,lead_iv_oxide
33.85,11.55,lead_iv_oxide
33.9,28.68,lead_iv_oxide
33.95,25.22,lead_iv_oxide
34,22.28,lead_iv_oxide
34.05,23.04,lead_iv_oxide
34.1,18.04,lead_iv_oxide
34.15,23.49,lead_iv_oxide
34.2,18.61,lead_iv_oxide
34.25,21.22,lead_iv_oxide
34.3,15.73,lead_iv_oxide
34.35,10.5,lead_iv_oxide
34.4,29.37,lead_iv_oxide
34.45,21.78,lead_iv_oxide
34.5,7.44,lead_iv_oxide
34.55,21.39,lead_iv_oxide
34.6,23.16,lead_iv_oxide
34.65,11.39,lead_iv_oxide
34.7,19.25,lead_iv_oxide
34.75,10.91,lead_iv_oxide
34.8,22.85,lead_iv_oxide
34.85,25.67,lead_iv_oxide
34.9,28.49,lead_iv_oxide
34.95,16,lead_iv_oxide
35,20.4,lead_iv_oxide
35.05,20.95,lead_iv_oxide
35.1,11.09,lead_iv_oxide
35.15,30.04,lead_iv_oxide
35.2,24.86,lead_iv_oxide
35.25,14.64,lead_iv_oxide
35.3,25.96,lead_iv_oxide
35.35,22.93,lead_iv_oxide
35.4,16.54,lead_iv_oxide
35.45,26.52,lead_iv_oxide
35.5,25.11,lead_iv_oxide
35.55,31.05,lead_iv_oxide
35.6,38.01,lead_iv_oxide
35.65,30.76,lead_iv_oxide
35.7,35.55,lead_iv_oxide
35.75,52.16,lead_iv_oxide
35.8,59.42,lead_iv_oxide
35.85,77.55,lead_iv_oxide
35.9,101.63,lead_iv_oxide
35.95,159.44,lead_iv_oxide
36,265.44,lead_iv_oxide
36.05,407.25,lead_iv_oxide
36.1,684.72,lead_iv_oxide
36.15,1485.12,lead_iv_oxide
36.2,2659.03,lead_iv_oxide
36.25,3109.7,lead_iv_oxide
36.3,1747.27,lead_iv_oxide
36.35,803.3,lead_iv_oxide
36.4,351.5,lead_iv_oxide
36.45,218.3,lead_iv_oxide
36.5,141.96,lead_iv_oxide
36.55,126.04,lead_iv_oxide
36.6,94.78,lead_iv_oxide
36.65,58.4,lead_iv_oxide
36.7,76.35,lead_iv_oxide
36.75,78.63,lead_iv_oxide
36.8,80.24,lead_iv_oxide
36.85,186.08,lead_iv_oxide
36.9,285.97,lead_iv_oxide
36.95,173.27,lead_iv_oxide
37,77.5,lead_iv_oxide
37.05,28.14,lead_iv_oxide
37.1,16.96,lead_iv_oxide
37.15,33.74,lead_iv_oxide
37.2,22.96,lead_iv_oxide
37.25,14.71,lead_iv_oxide
37.3,29.27,lead_iv_oxide
37.35,17.36,lead_iv_oxide
37.4,21.1,lead_iv_oxide
37.45,18.57,lead_iv_oxide
37.5,9.92,lead_iv_oxide
37.55,15.57,lead_iv_oxide
37.6,15.44,lead_iv_oxide
37.65,26.73,lead_iv_oxide
37.7,18.25,lead_iv_oxide
37.75,3.2,lead_iv_oxide
37.8,18.96,lead_iv_oxide
37.85,23.56,lead_iv_oxide
37.9,11.76,lead_iv_oxide
37.95,3.98,lead_iv_oxide
38,15.03,lead_iv_oxide
38.05,26.41,lead_iv_oxide
38.1,13.61,lead_iv_oxide
38.15,15.49,lead_iv_oxide
38.2,8.64,lead_iv_oxide
38.25,12.02,lead_iv_oxide
38.3,19.26,lead_iv_oxide
38.35,16.39,lead_iv_oxide
38.4,5.9,lead_iv_oxide
38.45,18.59,lead_iv_oxide
38.5,16.42,lead_iv_oxide
38.55,13.26,lead_iv_oxide
38.6,12.34,lead_iv_oxide
38.65,11.95,lead_iv_oxide
38.7,17.44,lead_iv_oxide
38.75,19.51,lead_iv_oxide
38.8,11.73,lead_iv_oxide
38.85,1.81,lead_iv_oxide
38.9,12.9,lead_iv_oxide
38.95,11.73,lead_iv_oxide
39,12.27,lead_iv_oxide
39.05,7.74,lead_iv_oxide
39.1,16.55,lead_iv_oxide
39.15,14.71,lead_iv_oxide
39.2,9.32,lead_iv_oxide
39.25,14.23,lead_iv_oxide
39.3,17.92,lead_iv_oxide
39.35,19.46,lead_iv_oxide
39.4,18.51,lead_iv_oxide
39.45,6.69,lead_iv_oxide
39.5,4.27,lead_iv_oxide
39.55,21.26,lead_iv_oxide
39.6,14.52,lead_iv_oxide
39.65,2.09,lead_iv_oxide
39.7,15.25,lead_iv_oxide
39.75,20.51,lead_iv_oxide
39.8,13.15,lead_iv_oxide
39.85,5.28,lead_iv_oxide
39.9,12.88,lead_iv_oxide
39.95,16.94,lead_iv_oxide
40,21.33,lead_iv_oxide
40.05,7.09,lead_iv_oxide
40.1,23.87,lead_iv_oxide
40.15,15.72,lead_iv_oxide
40.2,9.88,lead_iv_oxide
40.25,6.41,lead_iv_oxide
40.3,22.57,lead_iv_oxide
40.35,19.42,lead_iv_oxide
40.4,16.59,lead_iv_oxide
40.45,23.57,lead_iv_oxide
40.5,30.06,lead_iv_oxide
40.55,23.73,lead_iv_oxide
40.6,36.29,lead_iv_oxide
40.65,79.11,lead_iv_oxide
40.7,95.21,lead_iv_oxide
40.75,42.79,lead_iv_oxide
40.8,40.1,lead_iv_oxide
40.85,26.85,lead_iv_oxide
40.9,16.56,lead_iv_oxide
40.95,15.08,lead_iv_oxide
41,25.68,lead_iv_oxide
41.05,11.91,lead_iv_oxide
41.1,13.91,lead_iv_oxide
41.15,10.92,lead_iv_oxide
41.2,10.72,lead_iv_oxide
41.25,20.02,lead_iv_oxide
41.3,18.29,lead_iv_oxide
41.35,11.92,lead_iv_oxide
41.4,16.17,lead_iv_oxide
41.45,20.26,lead_iv_oxide
41.5,11.68,lead_iv_oxide
41.55,6.5,lead_iv_oxide
41.6,17.21,lead_iv_oxide
41.65,23.18,lead_iv_oxide
41.7,7.61,lead_iv_oxide
41.75,4.11,lead_iv_oxide
41.8,8.8,lead_iv_oxide
41.85,12.55,lead_iv_oxide
41.9,9.68,lead_iv_oxide
41.95,6.62,lead_iv_oxide
42,15.62,lead_iv_oxide
42.05,18.23,lead_iv_oxide
42.1,10.44,lead_iv_oxide
42.15,7.53,lead_iv_oxide
42.2,13.78,lead_iv_oxide
42.25,19.74,lead_iv_oxide
42.3,11.23,lead_iv_oxide
42.35,13.04,lead_iv_oxide
42.4,20.25,lead_iv_oxide
42.45,12.24,lead_iv_oxide
42.5,10.92,lead_iv_oxide
42.55,13.72,lead_iv_oxide
42.6,16.07,lead_iv_oxide
42.65,13.98,lead_iv_oxide
42.7,8.7,lead_iv_oxide
42.75,15.35,lead_iv_oxide
42.8,12.83,lead_iv_oxide
42.85,11.54,lead_iv_oxide
42.9,17.91,lead_iv_oxide
42.95,15.73,lead_iv_oxide
43,10.18,lead_iv_oxide
43.05,5.4,lead_iv_oxide
43.1,13.96,lead_iv_oxide
43.15,26.58,lead_iv_oxide
43.2,14.57,lead_iv_oxide
43.25,9.35,lead_iv_oxide
43.3,8.83,lead_iv_oxide
43.35,10.4,lead_iv_oxide
43.4,14.24,lead_iv_oxide
43.45,15.66,lead_iv_oxide
43.5,18.91,lead_iv_oxide
43.55,16.85,lead_iv_oxide
43.6,8.36,lead_iv_oxide
43.65,8.78,lead_iv_oxide
43.7,14.44,lead_iv_oxide
43.75,15.39,lead_iv_oxide
43.8,16.08,lead_iv_oxide
43.85,22.95,lead_iv_oxide
43.9,30.54,lead_iv_oxide
43.95,7.75,lead_iv_oxide
44,1.83,lead_iv_oxide
44.05,17.65,lead_iv_oxide
44.1,16.18,lead_iv_oxide
44.15,21.9,lead_iv_oxide
44.2,11.18,lead_iv_oxide
44.25,12.2,lead_iv_oxide
44.3,7.46,lead_iv_oxide
44.35,11.67,lead_iv_oxide
44.4,17.31,lead_iv_oxide
44.45,11.44,lead_iv_oxide
44.5,5.67,lead_iv_oxide
44.55,10,lead_iv_oxide
44.6,17.07,lead_iv_oxide
44.65,18.38,lead_iv_oxide
44.7,11.07,lead_iv_oxide
44.75,10.44,lead_iv_oxide
44.8,11.92,lead_iv_oxide
44.85,15.34,lead_iv_oxide
44.9,20.91,lead_iv_oxide
44.95,13.42,lead_iv_oxide
45,18.83,lead_iv_oxide
45.05,14.58,lead_iv_oxide
45.1,21.93,lead_iv_oxide
45.15,14.51,lead_iv_oxide
45.2,7.64,lead_iv_oxide
45.25,12.97,lead_iv_oxide
45.3,15.71,lead_iv_oxide
45.35,14.07,lead_iv_oxide
45.4,19.15,lead_iv_oxide
45.45,8.22,lead_iv_oxide
45.5,19.76,lead_iv_oxide
45.55,11.59,lead_iv_oxide
45.6,6.67,lead_iv_oxide
45.65,9.29,lead_iv_oxide
45.7,14.51,lead_iv_oxide
45.75,20.57,lead_iv_oxide
45.8,19.3,lead_iv_oxide
45.85,15.25,lead_iv_oxide
45.9,11.49,lead_iv_oxide
45.95,12.08,lead_iv_oxide
46,19.14,lead_iv_oxide
46.05,12.7,lead_iv_oxide
46.1,17.26,lead_iv_oxide
46.15,14.93,lead_iv_oxide
46.2,17.77,lead_iv_oxide
46.25,15.58,lead_iv_oxide
46.3,17.15,lead_iv_oxide
46.35,10.26,lead_iv_oxide
46.4,23.22,lead_iv_oxide
46.45,13.07,lead_iv_oxide
46.5,9.46,lead_iv_oxide
46.55,12.84,lead_iv_oxide
46.6,14.18,lead_iv_oxide
46.65,21.92,lead_iv_oxide
46.7,23.76,lead_iv_oxide
46.75,18.08,lead_iv_oxide
46.8,12.78,lead_iv_oxide
46.85,12.1,lead_iv_oxide
46.9,26.99,lead_iv_oxide
46.95,15.41,lead_iv_oxide
47,16.1,lead_iv_oxide
47.05,16.11,lead_iv_oxide
47.1,15.6,lead_iv_oxide
47.15,24.44,lead_iv_oxide
47.2,10.59,lead_iv_oxide
47.25,18.12,lead_iv_oxide
47.3,25.03,lead_iv_oxide
47.35,22.19,lead_iv_oxide
47.4,11.38,lead_iv_oxide
47.45,10.5,lead_iv_oxide
47.5,19.28,lead_iv_oxide
47.55,28.2,lead_iv_oxide
47.6,29.95,lead_iv_oxide
47.65,23.26,lead_iv_oxide
47.7,19.52,lead_iv_oxide
47.75,15.93,lead_iv_oxide
47.8,17.66,lead_iv_oxide
47.85,29.6,lead_iv_oxide
47.9,36.06,lead_iv_oxide
47.95,27.38,lead_iv_oxide
48,26.53,lead_iv_oxide
48.05,27.15,lead_iv_oxide
48.1,23.67,lead_iv_oxide
48.15,33.73,lead_iv_oxide
48.2,30.48,lead_iv_oxide
48.25,44.79,lead_iv_oxide
48.3,31.91,lead_iv_oxide
48.35,39.1,lead_iv_oxide
48.4,65.49,lead_iv_oxide
48.45,61.2,lead_iv_oxide
48.5,50.53,lead_iv_oxide
48.55,60.26,lead_iv_oxide
48.6,82.13,lead_iv_oxide
48.65,121.71,lead_iv_oxide
48.7,152.55,lead_iv_oxide
48.75,154.61,lead_iv_oxide
48.8,251.76,lead_iv_oxide
48.85,404.38,lead_iv_oxide
48.9,634.38,lead_iv_oxide
48.95,1000.59,lead_iv_oxide
